BIB,Name,Finished Time,Chip Pace (min/km),Rank Overall,Category Rank,Category
2883,DEEPAK SINGH RANA,03:19:35,00:09:28,5458of 5817,4825of 5107,35 to 39 yrs Male
2884,RAJESH MISHRA,02:15:08,00:06:25,2185of 5817,2023of 5107,50 to 54 yrs Male
2885,BHARAT MUNJAL,02:38:46,00:07:32,3804of 5817,3431of 5107,45 to 49 yrs Male
2886,DEEPESH JOSHI,01:31:33,00:04:21,144of 5817,137of 5107,45 to 49 yrs Male
2887,DIMPLE KUMAR,01:48:57,00:05:10,593of 5817,565of 5107,25 to 29 yrs Male
2889,RACHANA JOSHI,01:58:05,00:05:36,1071of 5817,58of 710,40 to 44 yrs Female
2890,VIBHOR AGRAWAL,02:16:47,00:06:30,2310of 5817,2139of 5107,40 to 44 yrs Male
2891,SAKSHI MALIK,02:59:23,00:08:31,4878of 5817,538of 710,40 to 44 yrs Female
2892,TARANG ARYA,02:04:59,00:05:56,1511of 5817,1412of 5107,25 to 29 yrs Male
2893,SAHIL SACHDEVA,03:00:03,00:08:33,4909of 5817,4369of 5107,35 to 39 yrs Male
2894,AJAY TIWARI,01:44:41,00:04:58,436of 5817,414of 5107,35 to 39 yrs Male
2896,ROHIT BAJAJ,02:07:36,00:06:03,1680of 5817,1567of 5107,35 to 39 yrs Male
2898,MANASHI DAS,03:35:26,00:10:13,5727of 5817,686of 710,40 to 44 yrs Female
2899,UMESH KUMAR,02:28:15,00:07:02,3122of 5817,2854of 5107,30 to 34 yrs Male
2900,GAURAV KHANDELWAL,02:33:06,00:07:16,3439of 5817,3125of 5107,35 to 39 yrs Male
2904,MANOJ SINGH DHAMI,03:02:51,00:08:41,5004of 5817,4452of 5107,30 to 34 yrs Male
2905,VIVEK KUMAR,02:51:28,00:08:08,4514of 5817,4029of 5107,50 to 54 yrs Male
2907,ARUN HANS,02:45:07,00:07:50,4162of 5817,3736of 5107,50 to 54 yrs Male
2908,KRISHNAKUMAR PARTHASARATHY,03:28:18,00:09:53,5633of 5817,4967of 5107,25 to 29 yrs Male
2911,DEVASHISH DASGUPTA,01:58:45,00:05:38,1113of 5817,1052of 5107,55 to 59 yrs Male
2912,ALIASGAR POONAWALA,02:20:33,00:06:40,2602of 5817,2398of 5107,30 to 34 yrs Male
2913,MADAN BHANDARI,01:28:44,00:04:13,110of 5817,104of 5107,25 to 29 yrs Male
2915,VIKAS RUSSELL,02:26:34,00:06:57,3020of 5817,2762of 5107,40 to 44 yrs Male
2916,ABHAY KHANDELWAL,02:29:43,00:07:06,3236of 5817,2952of 5107,35 to 39 yrs Male
2917,SHIV KUMAR,02:36:58,00:07:27,3699of 5817,3344of 5107,50 to 54 yrs Male
2918,RAJ KAMAL SINGH,02:49:45,00:08:03,4422of 5817,3949of 5107,35 to 39 yrs Male
2919,TARUN PATHAK,02:33:23,00:07:17,3460of 5817,3143of 5107,35 to 39 yrs Male
2921,HARSHITA BHUSHAN,03:31:04,00:10:01,5693of 5817,679of 710,25 to 29 yrs Female
2922,DEEPAK ANAND,02:23:41,00:06:49,2831of 5817,2588of 5107,50 to 54 yrs Male
2923,SHAILENDRA THAKUR,02:22:12,00:06:45,2728of 5817,2501of 5107,40 to 44 yrs Male
2924,JAGDEEP SINGH,02:13:58,00:06:21,2099of 5817,1948of 5107,35 to 39 yrs Male
2925,ALOK KUMAR,01:40:05,00:04:45,306of 5817,289of 5107,30 to 34 yrs Male
