BIB,Name,Finished Time,Chip Pace (min/km),Rank Overall,Category Rank,Category
1314,PRITAM ASSRANI,03:45:45,00:05:21,577of 7194,553of 6528,40 to 44 yrs Male
1316,KERMAN SHROFF,05:42:22,00:08:07,5684of 7194,5199of 6528,55 to 59 yrs Male
1318,NITIN SHARMA,05:49:30,00:08:17,5946of 7194,5430of 6528,35 to 39 yrs Male
1319,SUBHASH JANGID,05:08:11,00:07:19,4217of 7194,3893of 6528,55 to 59 yrs Male
1321,NOOPURA KINKAR,04:29:44,00:06:24,2281of 7194,148of 666,40 to 44 yrs Female
1322,TEJAS MURTHY,04:10:21,00:05:56,1448of 7194,1376of 6528,40 to 44 yrs Male
1323,KAILAS GODBOLE,05:47:29,00:08:15,5856of 7194,5352of 6528,45 to 49 yrs Male
1324,HIREN VASA,04:46:53,00:06:48,3145of 7194,2924of 6528,45 to 49 yrs Male
1326,SOLOMON SALVIS,05:29:48,00:07:49,5189of 7194,4763of 6528,45 to 49 yrs Male
1328,SURESH POOJARY,06:02:24,00:08:36,6324of 7194,5755of 6528,40 to 44 yrs Male
1330,GAUTAM SALASKAR,04:06:06,00:05:50,1285of 7194,1223of 6528,50 to 54 yrs Male
1334,PRANAB GARAD,03:42:07,00:05:16,475of 7194,452of 6528,40 to 44 yrs Male
1335,HITESH GUTKA,06:46:12,00:09:38,7025of 7194,6382of 6528,60 to 64 yrs Male
1336,PRAVIN SHELKI,04:45:00,00:06:46,3038of 7194,2828of 6528,45 to 49 yrs Male
1337,PANKAJ MALANI,05:56:42,00:08:28,6165of 7194,5619of 6528,35 to 39 yrs Male
1338,SHARAD SAXENA,04:48:26,00:06:51,3218of 7194,2991of 6528,60 to 64 yrs Male
1339,VIJAY SONAWANE,03:56:17,00:05:36,912of 7194,873of 6528,40 to 44 yrs Male
1340,KALYAN ROY,05:25:29,00:07:43,4976of 7194,4577of 6528,50 to 54 yrs Male
1341,ADITYA PATHAK,03:54:37,00:05:34,848of 7194,814of 6528,35 to 39 yrs Male
1342,GEORGY CHERIAN,03:23:34,00:04:50,191of 7194,188of 6528,40 to 44 yrs Male
1345,ASHUTOSH MALL,05:12:37,00:07:25,4409of 7194,4071of 6528,40 to 44 yrs Male
1349,SUMEET JAIN,04:16:06,00:06:05,1665of 7194,1575of 6528,35 to 39 yrs Male
1351,PRAKASH MALI,05:32:41,00:07:54,5294of 7194,4858of 6528,35 to 39 yrs Male
1352,NIKHIL HEDUKAR,04:20:15,00:06:11,1822of 7194,1716of 6528,35 to 39 yrs Male
1353,RAHUL SHINDE,03:49:46,00:05:27,700of 7194,672of 6528,30 to 34 yrs Male
1359,RUPESH PRABHUNERURKAR,04:27:29,00:06:21,2160of 7194,2027of 6528,45 to 49 yrs Male
1360,NITESH JAIN,05:35:35,00:07:58,5396of 7194,4947of 6528,45 to 49 yrs Male
1361,PRITESH BOHRA,05:01:43,00:07:10,3924of 7194,3635of 6528,35 to 39 yrs Male
1362,SHRIDHAR KAPSHIKAR,04:51:18,00:06:55,3378of 7194,3135of 6528,30 to 34 yrs Male
1363,SARIKA PADWALKAR,04:34:18,00:06:31,2491of 7194,163of 666,35 to 39 yrs Female
1364,ANJAN PATHAK,04:59:03,00:07:06,3774of 7194,3495of 6528,45 to 49 yrs Male
1365,ACHYUT MALIK,05:23:18,00:07:40,4877of 7194,4488of 6528,45 to 49 yrs Male
1367,KALPESH PATEL,04:57:23,00:07:03,3682of 7194,3412of 6528,45 to 49 yrs Male
1368,GIRISH AROSKAR,03:48:28,00:05:25,657of 7194,630of 6528,45 to 49 yrs Male
1369,UMESH RANADE,04:44:00,00:06:44,2981of 7194,2776of 6528,45 to 49 yrs Male
1370,AMIT CHATURVEDI,04:49:30,00:06:52,3269of 7194,3036of 6528,30 to 34 yrs Male
1371,SANDESH JADHAV,03:18:39,00:04:43,150of 7194,149of 6528,45 to 49 yrs Male
1372,AJITSINH VADHER,03:47:21,00:05:24,632of 7194,606of 6528,45 to 49 yrs Male
1374,SAMARVIR SINGH,05:51:44,00:08:21,6009of 7194,5484of 6528,18 to 24 yrs Male
1376,PARITOSH MOHITE,04:28:42,00:06:23,2212of 7194,2073of 6528,45 to 49 yrs Male
1379,GANESH ADLING,04:58:52,00:07:05,3762of 7194,3486of 6528,35 to 39 yrs Male
1380,RATNAKAR GORE,05:32:05,00:07:53,5276of 7194,4841of 6528,50 to 54 yrs Male
1381,PRAKHAR NASHINE,05:48:50,00:08:17,5917of 7194,5406of 6528,50 to 54 yrs Male
1382,PRASHANT SAWANT,04:45:03,00:06:46,3041of 7194,2830of 6528,40 to 44 yrs Male
1384,AMAR RANU,03:38:53,00:05:12,415of 7194,392of 6528,35 to 39 yrs Male
1385,NITI ROY,05:02:22,00:07:10,3953of 7194,295of 666,45 to 49 yrs Female
1387,SIVALINGAM ANANDHAN,04:36:59,00:06:34,2623of 7194,2449of 6528,45 to 49 yrs Male
1389,DILIP SINGH,04:44:41,00:06:45,3010of 7194,2804of 6528,45 to 49 yrs Male
1390,BIJUMON BASISTHA,05:56:00,00:08:27,6136of 7194,5594of 6528,45 to 49 yrs Male
1391,RISHIKESH SARDESHMUKH,03:33:09,00:05:04,337of 7194,321of 6528,45 to 49 yrs Male
1392,TRUPTI CHITRE,05:27:05,00:07:46,5042of 7194,406of 666,45 to 49 yrs Female
1393,SRAVAN KUMAR RAYAPATI,03:57:56,00:05:39,990of 7194,943of 6528,30 to 34 yrs Male
1394,SAJIV KURUP,05:20:41,00:07:36,4749of 7194,4373of 6528,40 to 44 yrs Male
1396,ANGHARAD DAVIES,04:16:53,00:06:06,1694of 7194,94of 666,40 to 44 yrs Female
1398,NIRAJ SINGH,05:59:08,00:08:31,6250of 7194,5694of 6528,40 to 44 yrs Male
1401,ADARSH PADWALKAR,03:56:13,00:05:36,906of 7194,868of 6528,40 to 44 yrs Male
1409,RANJIT KUMAR MAHTO,06:32:34,00:09:19,6863of 7194,6234of 6528,18 to 24 yrs Male
1412,RAVI KUMAR,04:52:44,00:06:57,3452of 7194,3206of 6528,50 to 54 yrs Male
1417,SAURAV CHAKRAVORTY,03:58:20,00:05:39,1005of 7194,958of 6528,30 to 34 yrs Male
1421,DHANANJAY PADHYE,04:46:29,00:06:48,3121of 7194,2903of 6528,45 to 49 yrs Male
1423,NIRANJAN PISE,05:36:08,00:07:58,5416of 7194,4966of 6528,30 to 34 yrs Male
1424,ANAND SHARMA,04:56:12,00:07:02,3612of 7194,3348of 6528,40 to 44 yrs Male
1425,SATISH PHADKE,06:01:49,00:08:35,6304of 7194,5739of 6528,40 to 44 yrs Male
1426,UTKARSH KUMAR,06:19:10,00:09:00,6644of 7194,6035of 6528,30 to 34 yrs Male
1427,SANDEEP LAXMAN,05:02:28,00:07:11,3956of 7194,3661of 6528,35 to 39 yrs Male
1428,DARSHAN PAREKH,04:34:05,00:06:30,2482of 7194,2320of 6528,50 to 54 yrs Male
1432,SANTOSH KAPARE,07:00:40,00:09:59,7144of 7194,6484of 6528,45 to 49 yrs Male
1434,VIVEK IYER,04:00:20,00:05:42,1089of 7194,1039of 6528,35 to 39 yrs Male
1435,VIVEK GURUNG,04:30:33,00:06:25,2319of 7194,2168of 6528,45 to 49 yrs Male
1436,JUZER KHILAWALA,07:01:18,00:10:00,7145of 7194,6485of 6528,30 to 34 yrs Male
1437,NUPUR GURBAXANI,04:58:20,00:07:05,3732of 7194,272of 666,40 to 44 yrs Female
1438,ABHISHEK KADAM,05:33:03,00:07:54,5307of 7194,4871of 6528,35 to 39 yrs Male
1445,RITESH SINGH,07:17:42,00:10:23,7174of 7194,6512of 6528,35 to 39 yrs Male
1446,GIRISH HIRIYANNA,04:05:42,00:05:50,1268of 7194,1208of 6528,45 to 49 yrs Male
